Player_Name,Player_Age,Last_Team,New_Team,Date,Transfer_Value
Agustín Pezzi,26,Douglas Haig,Patriotas,07/01/2024,?
Carlos Rivas,29,Juan Aurich,Patriotas,06/01/2024,Libre
Agustín Álvarez,22,Mvd City Torque,Atl. Nacional,07/01/2024,?
Kelvin Osorio,30,Mushuc Runa SC,Deportivo Cali,06/01/2024,Libre
Alexis Zapata,28,CS Emelec,CD América,07/01/2024,Libre
Agustín Aleo,25,Boyacá Chicó,Alvarado,05/01/2024,Libre
Daniel Mantilla,27,Deportivo Cali,Atl. Nacional,05/01/2024,?
Víctor Moreno,29,Indep. Medellín,Águilas Doradas,08/01/2024,?
Carlos Ramírez,35,Pereira,Unión Comercio,08/01/2024,Libre
Andrés Arroyo,21,Deportivo Cali,Iraklis,09/01/2024,Libre
Emerson Batalla,22,Talleres,Alianza Petrol.,07/01/2024,?
Darwin López,31,Deportivo Pasto,Zakho SC,10/01/2024,?
Santiago Ruíz,26,Pereira,Hercílio Luz,09/01/2024,Libre
Gianfranco Peña,23,B. Banja Luka,Patriotas,09/01/2024,Libre
Fabián Ángel,23,Junior FC,Deportivo Cali,09/01/2024,?
